資産ID,企業コード,企業名,営業担当者,機器名,メーカー,型番,数量,資産種別,EOL,保守期限,納品日,設置場所,登録日時,更新日時
A-0001,C001,東都製薬株式会社,佐藤,ThinkPad X1 Carbon Gen 9,Lenovo,20XW-001,18,PC,2031-05-03,2030-05-03,2025-03-21,東京本社 12F,2025-01-10 09:30:00,2026-08-20 14:12:00
A-0002,C001,東都製薬株式会社,佐藤,Latitude 5420,Dell,LAT5420-002,24,PC,2026-03-01,2025-12-31,2022-07-20,東京本社 10F,2025-01-11 09:30:00,2026-08-20 14:12:00
A-0003,C001,東都製薬株式会社,佐藤,ProBook 450 G8,HPE,2W8T5PA-003,16,PC,2028-11-15,2026-11-16,2021-10-20,東京本社 8F,2025-01-12 09:30:00,2026-08-20 14:12:00
A-0004,C001,東都製薬株式会社,佐藤,MacBook Pro 14-inch,Apple,MKGP3J-004,8,PC,2026-02-17,2026-02-17,2021-05-22,東京本社 研究部,2025-01-13 09:30:00,2026-08-20 14:12:00
A-0005,C001,東都製薬株式会社,佐藤,PowerEdge R740,Dell,PER740-005,2,サーバー,2029-01-10,2030-07-04,2022-12-31,東京DC A列,2025-01-14 09:30:00,2026-08-20 14:12:00
A-0006,C001,東都製薬株式会社,佐藤,ProLiant DL380 Gen10,HPE,P06420-006,3,サーバー,2026-11-16,2027-11-16,2021-07-04,東京DC A列,2025-01-15 09:30:00,2026-08-20 14:12:00
A-0007,C001,東都製薬株式会社,佐藤,ThinkSystem SR650 V2,Lenovo,7Z73-007,2,サーバー,2027-09-16,2026-09-16,2022-01-14,東京DC B列,2025-01-16 09:30:00,2026-08-20 14:12:00
A-0008,C001,東都製薬株式会社,佐藤,ETERNUS AF250 S3,Fujitsu,ETAF250-008,1,ストレージ,2026-10-13,2027-04-11,2018-11-25,東京DC B列,2025-01-17 09:30:00,2026-08-20 14:12:00
A-0009,C001,東都製薬株式会社,佐藤,PowerStore 500T,Dell,PST500T-009,1,ストレージ,2026-07-01,2027-12-23,2021-11-28,東京DC C列,2025-01-18 09:30:00,2026-08-20 14:12:00
A-0010,C001,東都製薬株式会社,佐藤,ApeosPort-VII C3373,FUJIFILM,AP7C3373-010,5,プリンター,2026-10-08,2028-10-07,2020-04-11,東京本社 各階,2025-01-19 09:30:00,2026-08-20 14:12:00
